Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
65843,SMT Alamo LLC,66929,SMT Alamo LLC,TX,Hidalgo,SMTAL,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65842,SMT Bay City LLC,66930,SMT Bay City LLC,TX,Matagorda,SMTBC,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,11,2023,10,8,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65841,SMT Elsa LLC,66931,SMT Elsa LLC,TX,Hidalgo,SMTEL,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,6,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65840,SMT Los Fresnos LLC,66932,SMT Los Fresnos LLC,TX,Cameron,SMTLF,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65847,SMT Harlingen II LLC,66933,SMT Harlingen II LLC,TX,Cameron,SMTH2,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65845,SMT Rio Grande I LLC,66934,SMT Rio Grande I LLC,TX,Starr,SMTR1,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,8.5,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65846,SMT Rio Grande II LLC,66935,SMT Rio Grande II LLC,TX,Starr,SMTR2,OP,Batteries,BA,IPP Non-CHP,2,10,10,10,12,2023,10,10,10,LIB,,,,0.9,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
65861,"Enel X North America, Inc",66966,Acton-Boxborough Schools BESS,MA,Middlesex,ABRSD,OP,Batteries,BA,IPP Non-CHP,2,2.1,2.1,2.1,5,2021,4.3,2.1,2.1,LIB,,,,2.1,CS,,,,,,Y,,PR,,,,,,,Y,N, ,, ,, ,,N
65861,"Enel X North America, Inc",66967,Gateway BESS,NY,Kings,S049,OP,Batteries,BA,IPP Non-CHP,2,4.8,4.8,4.8,5,2019,16.4,1.6,4,LIB,,,,4,CS,,,,,,Y,PR,,,,,,,,Y,N, ,, ,, ,,N
65552,Terra-Gen Operating Co-BESS 2,67093,Mojave 16/17/18 BESS,CA,Kern,GEN 1,OP,Batteries,BA,IPP Non-CHP,2,77,70.6,70.6,8,2020,77,77,77,LIB,,,,77,CS,PR,Y,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
14127,Omaha Public Power District,67122,BRIGHT Battery,NE,Cass,1,OP,Batteries,BA,Electric Utility,1,1,1,1,3,2023,2.4,1,1,LIB,,,,1,CS,,,,,,,PR,,Y,,,,,,Y,N, ,, ,, ,,Y
66057,"Rodeo Ranch Energy Storage, LLC",67175,Rodeo Ranch Energy Storage,TX,Reeves,RODE1,OP,Batteries,BA,IPP Non-CHP,2,300,300,300,12,2023,600,300,300,LIB,,,,97,CS,Y,PR,,,,,,,Y,,,,,,Y,N, ,, ,, ,,N
66056,Mohave Energy,67178,Mohave Energy - Hybrid,AZ,Mohave,MEBA,OP,Batteries,BA,Electric Utility,1,15,15,15,9,2023,60,15,15,LIB,,,,1.2,CS,Y,Y,,,Y,Y,Y,Y,,,PR,,Y,,,Y,67178,MEPV, ,, ,,N
65043,Madison Energy Investments LLC,67241,401 South,MA,Berkshire,401SB,OP,Batteries,BA,IPP Non-CHP,2,1,1,1,12,2023,2,0.5,0.5,LIB,,,,1,CS,,,,,,,,,,,PR,Y,,,,Y,67241,4SPV1, ,, ,,N
65043,Madison Energy Investments LLC,67242,5 Berry,MA,Norfolk,5BES1,OP,Batteries,BA,IPP Non-CHP,2,3,3,3,9,2023,7.5,1,1,LIB,,,,1,CS,,,,,,,,,,,PR,,,Y,,Y,67242,5BPV1, ,, ,,N
64872,"Distributed Solar Development, LLC",67275,White Plains_RFP-Gedney Way Landfill,NY,Westchester,4072B,OP,Batteries,BA,IPP Non-CHP,2,1.3,1.3,1.3,4,2022,5.1,1.3,1.3,LIB,,,,0.8,CS,,PR,,,Y,,,,,,Y,Y,,,,Y,67275,4072C, ,4072G, ,,N
66160,"Freemans Way Solar Project 2019, LLC",67296,CVEC Round 4 Brewster Captn Golf Course,MA,Barnstable,3658B,OP,Batteries,BA,IPP Non-CHP,2,0.4,0.4,0.4,3,2022,0.9,0.4,0.4,LIB,,,,0.4,CS,,,,,Y,,Y,PR,,,Y,Y,,,,Y,67295,3658, ,, ,,N
65043,Madison Energy Investments LLC,67457,665 Scenic Highway,MA,Barnstable,SHBE1,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,12,2022,31,1,1,LIB,,,,1,CS,,,,,,,,,,,PR,,Y,,,Y,67457,SHPV1, ,, ,,N
65043,Madison Energy Investments LLC,67464,1 Commercial,MA,Norfolk,CM1BS,OP,Batteries,BA,IPP Non-CHP,2,1,1,1,9,2023,2,1,1,LIB,,,,1,CS,,,,,,,,,,,PR,,Y,,,Y,67464,CM1PV, ,, ,,N
66256,LSE Lepus LLC,67577,Monument Valley,MA,Berkshire,MONBA,OP,Batteries,BA,IPP Non-CHP,2,1,1,1,1,2022,2.2,1,1,LIB,,,,1,CS,,,,,,,,,,,PR,,,Y,,Y,67577,MON22, ,, ,,N
66257,LSE Ophiuchus LLC,67578,Sandwich,MA,Barnstable,SWABA,OP,Batteries,BA,IPP Non-CHP,2,2,2,2,7,2023,4.6,2,2,LIB,,,,2,CS,,,,,,,,,,,PR,,,Y,,Y,67578,SWI23, ,, ,,N
66355,Bollinger Canyon Road BR 1-X Solar Project 2020,67743,Bishop Ranch BR 1-X,CA,Contra Costa,4057B,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,3,2022,1.1,0.5,0.5,LIB,,,,1,CS,,,,,,,Y,PR,,,Y,Y,,,,Y,67743,4057C,67743,4057R, ,,N
66357,Shapham Place Solar Project 2020 LLC,67745,White Plains RFP Shapham Place,NY,Westchester,4075B,OP,Batteries,BA,IPP Non-CHP,2,5,5,5,5,2022,2,0.5,0.5,LIB,,,,1,CS,,PR,,,Y,,,,,,,Y,,,,Y,67745,4075, ,, ,,N
